Belice,911276,952690,1156642,1738121,2304199,3115525,2281584,2234146,1054467,1601411,1109438,1402012,930452,917853,1145249,1140257,1311303,1351706,1161476,1231148,1300497,1428037,1197776,1336891,1075708,1223942,1393271,1647569,1368652,1697422,874985,1043490,1237792,1557803,827889,1005198,810169,1056519
Polonia (República Popular de),7832064,9751779,5558769,7228478,7334668,8571869,4863568,5787371,3972310,5098504,1579795,2424928,830960,1356801,1029895,1241585,395926,465592,1163684,1399012,549427,561330,498635,548856,526681,511449,466673,449064,301603,302369,264276,264947,201336,245322,185231,225697,248846,303212
Turquia (República de),3255689,3958596,3457953,4453915,3846209,4835270,2995133,4140685,2479167,3501984,2373126,3505281,718832,1030451,1017363,1190056,575168,672739,578932,699730,592716,647150,294033,329128,446300,435383,280145,268939,313218,314012,430676,431766,314088,383702,281872,343449,153439,187277
Estonia,1104963,1353897,1037633,1271154,1089656,1319756,1048000,1326787,1202208,1630982,1623064,2197737,1308601,1768698,998545,1219482,1084783,1264783,1050398,1176978,829716,857848,491751,563199,148879,142894,0,0,0,0,0,0,0,0,0,0,0,0
Ucrania,10628698,10926064,10323359,14558439,6813712,8533760,6721607,8990857,3604354,5147213,2800777,3752208,2254580,2617463,988706,1173075,1232070,1444651,1188303,1421195,1130900,1211773,928285,1025510,551040,532224,0,0,0,0,0,0,16107,19625,153016,186445,131742,160524
"Bélgica, (Reino de)",13191309,14990886,11889331,15701174,17975894,20865231,19193645,24612288,14825257,21228639,17699104,24835638,12472490,16070716,984312,1149279,1230021,1450853,1803069,2177396,1131820,1241662,1099029,1248911,1509931,1532148,9294622,9011048,10436326,10419171,9616323,9684967,8085663,9843098,5839918,6945498,5197094,6325362
Israel (Estado de),6600768,8465489,5345322,6928846,5988511,7066166,4730261,6208126,3523753,4601370,2233907,3288063,1008859,1429366,924422,916530,845806,981776,723765,873129,518540,572544,628669,626777,650010,588142,1886206,2931392,812719,902353,909434,929071,378515,461205,555692,677089,490373,597503
Bolivia (República de),3519680,3937381,2246963,3064444,3430174,4025657,1804741,2390149,202925,286272,2228202,2622302,1666470,1676335,881366,774979,399305,353068,279819,375655,463844,617646,285856,403707,449482,648955,207672,251775,186559,223817,170206,204191,138480,182686,102693,135501,107614,141704
Rumania (República de),2646990,3230230,2254045,2874435,2280002,2493224,2024831,2680494,1905307,2505902,1208236,1767482,639215,943930,856653,1038622,684832,807900,768608,913032,662217,728544,22964,18817,34595,28226,0,0,0,0,0,0,0,0,0,0,0,0
Islas íirgenes Norteamericanas,1498343,1742286,998348,1319049,1274726,1496860,402246,495966,14007,23310,48482,96514,443921,662719,789160,1187538,842539,1149161,898797,883817,254295,310042,29286,28473,53677,61497,22323,27519,6739,7361,695494,710636,512874,534238,501260,528070,406130,464264
